,site_id,site_name,site_category,year,month,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,source_file,system_time_start,temporal_scale,period,has_any_missing_value,n_missing_values,row_was_missing,season,has_all_values,has_any_value
23,bio_corridor,Biodiversity Corridor,corridor,2015,12,16_2_0,0.0347765707995046,0.4820092930540595,0.0687118288151919,-0.5463166469800615,0.4690376400914763,0.1875062928808789,0.696007867242966,-0.6645725660168585,0.3403441667813403,0.2373257092054953,0.0617746635475436,0.4634383608521641,0.2357579358745013,0.1251842273290216,median,2015-12-01,6.0,16.0,bio_corridor_aoi.geojson,1448928000000.0,monthly,baseline,False,0,False,other,True,True
24,bio_corridor,Biodiversity Corridor,corridor,2016,1,17_2_0,0.0362442276299579,0.3976754036026574,0.0625676082403935,-0.5396657007915385,0.4264204221477154,0.1599933751038394,0.6400711501103369,-0.6364027823514933,0.2823925327070604,0.183786734583825,0.0628168818878132,0.3900825622863809,0.2110200410901333,0.1195655250536171,median,2016-01-01,2.0,17.0,bio_corridor_aoi.geojson,1451606400000.0,monthly,baseline,False,0,False,other,True,True
25,bio_corridor,Biodiversity Corridor,corridor,2016,2,18_2_0,,,,,,,,,,,,,,,median,2016-02-01,1.0,18.0,bio_corridor_aoi.geojson,1454284800000.0,monthly,baseline,True,14,False,other,False,False
26,bio_corridor,Biodiversity Corridor,corridor,2016,3,19_2_0,0.0398952695821979,0.4143605086015863,0.0671762762443508,-0.556182878764742,0.4033725796595753,0.1351619604766097,0.6390645005473565,-0.630084780864934,0.297367790252218,0.1951063369728684,0.0667315557955324,0.4005574320818217,0.2357408852345278,0.136260324565477,median,2016-03-01,30.0,19.0,bio_corridor_aoi.geojson,1456790400000.0,monthly,baseline,False,0,False,wet,True,True
27,bio_corridor,Biodiversity Corridor,corridor,2016,4,20_2_0,0.0425153636750319,0.4114568986617745,0.0749312951935346,-0.565797418711516,0.3519701188893669,0.0893413412313413,0.6023132975537666,-0.6123503047746325,0.3179043853679289,0.1988724978755843,0.0780096405784772,0.3990206047197076,0.2669852615908125,0.1540982294768184,median,2016-04-01,29.0,20.0,bio_corridor_aoi.geojson,1459468800000.0,monthly,baseline,False,0,False,wet,True,True
28,bio_corridor,Biodiversity Corridor,corridor,2016,5,21_2_0,0.0383302198605114,0.5301347853250699,0.0677790950957599,-0.5214352676875331,0.5278653676430843,0.2391568684996611,0.7326631405656945,-0.6725054194248755,0.3468895762205243,0.2561308298179356,0.0538729817336431,0.4871458585468164,0.2164275115686925,0.1106255447802504,median,2016-05-01,26.0,21.0,bio_corridor_aoi.geojson,1462060800000.0,monthly,baseline,False,0,False,wet,True,True
29,bio_corridor,Biodiversity Corridor,corridor,2016,6,22_2_0,,,,,,,,,,,,,,,median,2016-06-01,36.0,22.0,bio_corridor_aoi.geojson,1464739200000.0,monthly,baseline,True,14,False,other,False,False
30,bio_corridor,Biodiversity Corridor,corridor,2016,7,23_2_0,0.0252603389858018,0.5727895111117871,0.0518730333020885,-0.5653822957452604,0.6178924697254836,0.3233975847159857,0.8119264402326826,-0.7455440053162581,0.3551238754914969,0.2897285061191271,0.0372329774672233,0.5342730920868031,0.1841731144574159,0.0863892931776774,median,2016-07-01,33.0,23.0,bio_corridor_aoi.geojson,1467331200000.0,monthly,baseline,False,0,False,dry,True,True
31,bio_corridor,Biodiversity Corridor,corridor,2016,8,24_2_0,0.0322809820561439,0.4874811024673091,0.0576399354853628,-0.5796705511835055,0.4937714322189997,0.2144052252996324,0.7328807218945012,-0.6932863927419388,0.3165906668824861,0.2350756686729295,0.0501452649956065,0.4620825672323441,0.2114088049761827,0.113849642741525,median,2016-08-01,23.0,24.0,bio_corridor_aoi.geojson,1470009600000.0,monthly,baseline,False,0,False,dry,True,True
32,bio_corridor,Biodiversity Corridor,corridor,2016,9,25_2_0,0.0362811024304517,0.4611574003093896,0.0614448209605712,-0.5694031705734327,0.4457979263766259,0.1709406883164148,0.6999233066087158,-0.6659016039241865,0.3054739260755846,0.2160857106240379,0.0549277274671469,0.4374333930215615,0.2221620161047148,0.1239479681810995,median,2016-09-01,35.0,25.0,bio_corridor_aoi.geojson,1472688000000.0,monthly,baseline,False,0,False,dry,True,True
33,bio_corridor,Biodiversity Corridor,corridor,2016,10,26_2_0,0.0391770418353216,0.4202687893155278,0.0652348417527695,-0.5708603495867457,0.3895839503367875,0.124325927396947,0.6545681760837266,-0.6391229491592764,0.2934006547587341,0.1940422585407797,0.0633693096905624,0.4044604915926358,0.2371403653600342,0.1386189141057729,median,2016-10-01,10.0,26.0,bio_corridor_aoi.geojson,1475280000000.0,monthly,baseline,False,0,False,dry,True,True
