system:index,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,day,image_count,image_id,month,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo
1_4,0.33944934192719356,-0.5253372912355571,0.22714997268960388,-0.0023993855522477176,0.36297784776170117,0.5237599892472267,-0.5292196077330994,0.14036129900160393,0.31787087009997345,median,2019-01-01,1,76,1,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1546300800000,annual,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
1_5,0.36690477424842916,-0.47707843672184375,0.2952320083512443,0.06069743542087487,0.39727815163308094,0.5450729753201674,-0.5114621776860531,0.14900359860233975,0.3307139650805112,median,2019-01-01,1,76,1,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1546300800000,annual,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
2_0,0.41899227691047713,-0.5077701697301292,0.3702340592405071,0.11824593035392932,0.4395249803766602,0.609020556795081,-0.5763816059495908,0.18112907309530488,0.3752968470652072,median,2020-01-01,1,95,2,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
2_1,0.5030680469393879,-0.5088945948846635,0.5068472246803111,0.22458874571479864,0.5418942488124178,0.7297517822886913,-0.6485412787638951,0.22480604648382546,0.4481683349405904,median,2020-01-01,1,95,2,1,reference,buda,Buda,buda_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
2_2,0.49938643915619224,-0.49429470801383646,0.4834665126863769,0.20530576622437385,0.5163096311105275,0.7131083664399346,-0.6223257013922681,0.22032272040691228,0.44076233306936075,median,2020-01-01,1,95,2,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
2_3,0.47478597150629814,-0.4954868843114477,0.4259412719484268,0.1590753086358938,0.4798075234137474,0.664876119170152,-0.5910195362777563,0.20542681985377212,0.41689835682088383,median,2020-01-01,1,95,2,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
2_4,0.44972850942341225,-0.5073550572958833,0.417620076142262,0.14583281050454863,0.4719827000610099,0.6585445569577102,-0.5909204494581531,0.19015128922221367,0.3993865587573273,median,2020-01-01,1,95,2,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1577836800000,annual,2020,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
2_5,0.39434200245059786,-0.5048425552937376,0.2930873181647671,0.05443659037787516,0.4174008072039287,0.5800292483383342,-0.537530693776095,0.16413380871257532,0.3572249917435129,median,2020-01-01,1,95,2,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1577836800000,annual,2020,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
3_0,0.3196347684162214,-0.5444016917859134,0.22137043022926411,0.0035076160841360873,0.37180033874963764,0.5111540457677896,-0.5343161205936562,0.13326949016991543,0.3002380843688054,median,2021-01-01,1,99,3,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
3_1,0.43011933735819496,-0.5372649722973488,0.41403882784458845,0.1494556343808227,0.4949335742772945,0.6727536188118266,-0.6254878294098362,0.18772454765006383,0.3940968487750081,median,2021-01-01,1,99,3,1,reference,buda,Buda,buda_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
