,system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo,period,has_any_missing_value,n_missing_values
0,0_4,0.2343184036861459,0.1320501213620881,0.0595638153193078,0.0872402906037199,0.0729778070482296,0.1284247472427954,0.2477574289479166,0.2901880355866691,0.290762024289586,0.3223333827294561,0.3993743005493596,-0.4477641181968881,0.3660223797977877,0.1073671136319488,0.4208585801897974,0.5778564178913463,-0.5232119627164389,0.1643097288353249,0.3569001734109923,median,2019-01-01,79,0,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
1,1_4,0.2560866565012951,0.149824158781529,0.0581510518047649,0.0838183761087301,0.0725613620023994,0.1260739227102698,0.243902649577969,0.2860335132124796,0.2857667350915637,0.3167796125641416,0.4013665387368567,-0.4957859768030959,0.3129987916496983,0.0623415854231522,0.4271580201179453,0.5857975945919013,-0.5364018474107345,0.1664088630743453,0.3621125682247512,median,2020-01-01,93,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
2,2_4,0.2821906752925678,0.1766504573344122,0.0572286195625813,0.0854638248694634,0.08014054094656,0.1324795263981325,0.2373163009350562,0.2762632778279731,0.2803421316376268,0.3105562504158071,0.3472734856514621,-0.5372313946035382,0.2235577745954075,-0.0078352871488249,0.3897314438117328,0.5322153053378421,-0.5196037102389538,0.1433842143330651,0.3227104453717145,median,2021-01-01,103,2,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
3,3_4,0.2807161349340398,0.1750151337772903,0.0661609664757351,0.091916678219851,0.0880322368181029,0.1419765261470384,0.2376006391092818,0.2751169535647831,0.2798372028989547,0.3094845308942171,0.3393337671540302,-0.5069080843091501,0.2370408301144402,0.0084835975248652,0.3728779793670162,0.5094536021027066,-0.4925662310676005,0.1342460677188526,0.3079134182738976,median,2022-01-01,79,3,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
4,4_4,0.2354710401728906,0.128476558016658,0.0543221857623277,0.0814630530237509,0.0644957439571123,0.125740486328255,0.2471298522837749,0.2872391592858632,0.2882927017497178,0.3197395124270058,0.4059163463761329,-0.4760548087509648,0.3880200528320173,0.115113029811634,0.4349069964728684,0.611482230355626,-0.545138995336897,0.1678574604737488,0.3647846797999689,median,2023-01-01,85,4,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
5,5_4,0.248144860084857,0.1366226407360273,0.0556585770053718,0.0824361811396234,0.0671132604445435,0.1289977071042425,0.2589972476237287,0.3024807023549177,0.3020314964127901,0.3361049456928798,0.4312769133765339,-0.492659861083067,0.3756523768983247,0.0999492364475566,0.4311873457075445,0.611561197124231,-0.5514816354517666,0.1807054312735929,0.381014007241969,median,2024-01-01,77,5,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
6,6_4,0.2623140075027736,0.1489435418414846,0.0542284965909165,0.081928835889699,0.0723295335875747,0.1364691234888759,0.2490036117829608,0.2879065081627009,0.2890276269902415,0.3233959744485054,0.40433899891169,-0.5134870681915525,0.325788368672154,0.0567489901038319,0.4043568943447672,0.5888704724778555,-0.5454497357219398,0.1695470718879263,0.36752635605491,median,2025-01-01,116,6,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
7,0_5,0.2200848614603458,0.1255928006348973,0.0508497279820543,0.0764129108106687,0.0632894470561083,0.1216932587490742,0.2192782658957189,0.2540256710761266,0.2543105444812908,0.2838547624195756,0.3571209653436457,-0.4791561969815602,0.3553728831850796,0.0979974191756936,0.4118413486470543,0.5968218327264403,-0.533113920565278,0.1426607732958082,0.3271615230136038,median,2019-01-01,79,0,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
8,1_5,0.2224819637282411,0.1278331835574506,0.0473650756167777,0.0724803689531887,0.0603546826119876,0.1174547594232476,0.2302378721216023,0.2691469744785795,0.2703996743720867,0.2994025250537519,0.4006489719044241,-0.5019613044236283,0.3528929299521587,0.0952876659165672,0.4285296059760057,0.62039455747739,-0.5623583534223375,0.166722386636943,0.3664271300050484,median,2020-01-01,93,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
9,2_5,0.3332272030902666,0.2433725303783075,0.0708016238778956,0.0948129153673424,0.103770997027967,0.1494597830800626,0.2179959124945123,0.2477669570472411,0.2525071394587988,0.2813366674359942,0.2477934387628861,-0.5587686485212872,0.0190453543256794,-0.1390301736136061,0.292746374706366,0.3936448757778071,-0.4343966482088752,0.0936539473980548,0.2330603725161633,median,2021-01-01,103,2,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
