,system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
23,2_0,0.3024668715702059,0.2100369690818573,0.0593679647507299,0.0899142071619578,0.1199204218177885,0.1645952071847846,0.2333957253052634,0.2595012953223329,0.255973414632497,0.2790428429879785,0.2116370417033891,-0.5290418479168,0.1157056862632332,-0.0700012604700299,0.250500302006038,0.3531750287910709,-0.4661316820655228,0.0865447519979935,0.2066025683689258,median,2021-01-01,103,2,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1609459200000,annual,2021,current,False,0
24,3_0,0.3063133146437412,0.1995127375969383,0.0726756258068554,0.1036063306485363,0.1253681149832648,0.1795831614437539,0.2552404281923144,0.2829039685230292,0.2798243222416011,0.3045524743560588,0.242585114489792,-0.482532749629865,0.1838974381057757,-0.0291656322615325,0.257722009940279,0.381130938396979,-0.450405342507297,0.0981059395656231,0.2292396456744294,median,2022-01-01,79,3,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1640995200000,annual,2022,current,False,0
25,4_0,0.2798877890200901,0.1688398141157705,0.0693954416642079,0.103212429438475,0.1105395066336497,0.1736830142547595,0.2737747368394359,0.3047228074461906,0.2974583730754891,0.3250181452918538,0.317760498898086,-0.4543534068841851,0.2941968728756948,0.0512004953908376,0.3101737735380435,0.464633987148346,-0.4733211775827977,0.1344855964938177,0.2900360512377951,median,2023-01-01,85,4,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1672531200000,annual,2023,current,False,0
26,5_0,0.2844174985395231,0.1713282826062514,0.0664043433857525,0.0991328545534327,0.0978271099555052,0.1617030286185788,0.2659853826364329,0.3007810100834187,0.2980844544411587,0.3263282334446206,0.3399766515181902,-0.474013907071859,0.2872307766730997,0.0429430896787836,0.3278456784310533,0.4842728545600561,-0.4759781923183676,0.1392865639464069,0.3044698807938342,median,2024-01-01,77,5,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1704067200000,annual,2024,current,False,0
27,6_0,0.2878758517897287,0.1717852811005442,0.0632795018400739,0.0919246658234934,0.0946437519074968,0.1554451703241289,0.2340527586311846,0.2649287482256591,0.2681473561356506,0.2985015180503078,0.3000253412389035,-0.5006753067739018,0.2314298867192157,-0.0238437781610127,0.3071052108282983,0.4656599738522177,-0.4721774189934342,0.1202435772476852,0.2806137001867998,median,2025-01-01,116,6,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1735689600000,annual,2025,current,False,0
28,0_1,0.1607278369360916,0.0711181458456875,0.0340375104510012,0.0508216948380958,0.0300537456231521,0.0797190617096264,0.2393649474463934,0.3069321965752146,0.3101609254348557,0.3430927539986211,0.5507106312800364,-0.4987006046846875,0.6252719238928559,0.3200739582693879,0.6151693456862898,0.8125098222293412,-0.7074892829630733,0.2499108612169205,0.4901695924932054,median,2019-01-01,79,0,reference,buda,Buda,buda_aoi.geojson,1546300800000,annual,2019,current,False,0
29,1_1,0.1643344453740041,0.0707478853616831,0.0314209628751097,0.0486407955752712,0.02728931121877,0.077717460296672,0.2481810936671644,0.3220586655564333,0.3243711613131702,0.3583783034331668,0.5808958816398367,-0.5235600387775968,0.6405628893850822,0.3295950350452905,0.6349592917342145,0.8354665567535139,-0.7263726919095135,0.2689231705504841,0.5144794792952535,median,2020-01-01,93,1,reference,buda,Buda,buda_aoi.geojson,1577836800000,annual,2020,current,False,0
30,2_1,0.1658296741383027,0.0744091764768127,0.0277674741265687,0.0473481129787291,0.0278356875239664,0.0794742399057473,0.2290888863423491,0.2919891574659442,0.29856499592961,0.3288113148197815,0.5296581649892373,-0.5361011591089831,0.6063702074307883,0.298719691298044,0.6110952554622536,0.8205127813294499,-0.722505100691408,0.2404491496782998,0.4788860382444413,median,2021-01-01,103,2,reference,buda,Buda,buda_aoi.geojson,1609459200000,annual,2021,current,False,0
31,3_1,0.1722635304320587,0.0776527225251292,0.0389296416851939,0.0572218373279383,0.0360636792606034,0.0889575975112473,0.2513057935741273,0.3196618053882116,0.3248159713825914,0.3570319768684511,0.5730525338946431,-0.4821029887535311,0.615413918174421,0.3117308000246426,0.5983026041423675,0.7879393119698338,-0.6897757195221467,0.2558056770898661,0.4951838923197441,median,2022-01-01,79,3,reference,buda,Buda,buda_aoi.geojson,1640995200000,annual,2022,current,False,0
32,4_1,0.1636934243557049,0.0710099174239931,0.0335080655799023,0.0506692409744209,0.0300175095918713,0.0812552047820011,0.247222920905565,0.3183978369570447,0.3202264200003348,0.3560919884824206,0.5728328233204282,-0.5149771737818267,0.6347906773239412,0.325333805603444,0.6247680842248264,0.8208615608015812,-0.7203781888016366,0.262297892546631,0.5060745697851141,median,2023-01-01,85,4,reference,buda,Buda,buda_aoi.geojson,1672531200000,annual,2023,current,False,0
