,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
10,10_4,0.0730672041789027,0.2254932908025104,0.1165461409826131,-0.4970556874291293,0.1673194286017719,-0.0366622042402264,0.3358372948739574,-0.4719928544338025,0.321912988276698,0.1033755231661869,0.168099247774204,0.2312375408380899,0.3474336101011513,0.2346828383559408,median,2024-01-01,778,10,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1704067200000,annual,2024,current,False,0
11,11_4,0.0657338224840348,0.2604014198473444,0.0991773493217732,-0.5280440133107528,0.1613908991366908,-0.0486902724836427,0.3918746528698669,-0.4837352637961611,0.2949123339393094,0.1123510773606307,0.1257350597818488,0.2596278819491084,0.3252707083508132,0.2220332651610499,median,2025-01-01,456,11,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1735689600000,annual,2025,current,False,0
12,0_5,0.036144086110598,0.3741423338116589,0.0665182929092653,-0.5365579287681526,0.3577795158464424,0.1018114535746547,0.6073025314411241,-0.6007565032562162,0.2750548255342358,0.171484009588482,0.0656166590715319,0.3700253238926071,0.2231931621417619,0.1299072859435605,median,2014-01-01,17,0,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1388534400000,annual,2014,baseline,False,0
13,1_5,0.0359260398898303,0.4143376393684497,0.0676929447847352,-0.5441775434704104,0.3968102535142415,0.1185516613455032,0.6524837278408899,-0.6201407337841476,0.2910432412667764,0.1920310693731246,0.060868581538288,0.4038434430631565,0.230709136404646,0.1275732617253579,median,2015-01-01,18,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1420070400000,annual,2015,baseline,False,0
14,2_5,0.043303855018241,0.3544443296149921,0.0709774479388104,-0.5608832192509349,0.2585760189268796,0.020875278107961,0.5696966980602206,-0.57885272124845,0.2698768723200077,0.1562330034713096,0.0729347026144982,0.3474605403931361,0.2599885594548303,0.1622089286509639,median,2016-01-01,247,2,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1451606400000,annual,2016,baseline,False,0
15,3_5,0.0362650071466458,0.3759964789110063,0.0671054698362954,-0.5638095664436653,0.3174872073437567,0.0565917474585699,0.6133641741134167,-0.5980076129925112,0.2725916360757838,0.1700455663485991,0.063199536702987,0.3692097562690964,0.2382333982807551,0.1400952125975327,median,2017-01-01,312,3,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1483228800000,annual,2017,baseline,False,0
16,4_5,0.0373544742457554,0.4071716276320506,0.0668782859387209,-0.5613848690065784,0.3540792216603546,0.0925664043327935,0.6505075629270476,-0.6180466271846972,0.2821201870275225,0.1858943490636018,0.0605143564576934,0.3955438496488823,0.2420987844223368,0.1408379862654826,median,2018-01-01,670,4,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1514764800000,annual,2018,current,False,0
17,5_5,0.0353711349197672,0.3658297623443229,0.0653384510606594,-0.5690672159398402,0.3264686727609724,0.0589055717292326,0.6072129868652902,-0.6103830420561709,0.2710109708505921,0.1649189137724342,0.0644574203240083,0.3619867571313053,0.2427925316942614,0.1384616376954195,median,2019-01-01,705,5,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1546300800000,annual,2019,current,False,0
18,6_5,0.0258588836754294,0.4271191098937921,0.0598227211585651,-0.5480871064232412,0.4937353435173215,0.1959244756779476,0.710471193841634,-0.6595543586243762,0.2894312624409034,0.201744271584759,0.0488342723094042,0.4223362939258198,0.1928304495407493,0.0966077489516843,median,2020-01-01,653,6,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1577836800000,annual,2020,current,False,0
19,7_5,0.0576571028752599,0.3010917641808918,0.0852464896404003,-0.5802581788743286,0.1135342935905899,-0.0838589426647093,0.4679227808196348,-0.5215635602530567,0.2731960847717742,0.12817279882926,0.0990861551044868,0.2961595096830135,0.3288465313460397,0.2256195172268573,median,2021-01-01,75,7,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1609459200000,annual,2021,current,False,0
