system:index,composite_stat,date,image_count,month,precipitation,system_time_start,temporal_scale,year,.geo
49,sum,2022-02-01,28,2,29.817384744223357,1643673600000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,sum,2022-03-01,31,3,24.93667263985213,1646092800000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,sum,2022-04-01,30,4,190.7152144834567,1648771200000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,sum,2022-05-01,31,5,123.67071467127018,1651363200000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,sum,2022-06-01,30,6,98.03940481428081,1654041600000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,sum,2022-07-01,31,7,119.76539351153386,1656633600000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,sum,2022-08-01,31,8,67.65336299021152,1659312000000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,sum,2022-09-01,30,9,37.32961411207432,1661990400000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,sum,2022-10-01,31,10,54.82223002657929,1664582400000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,sum,2022-11-01,30,11,107.55422156778661,1667260800000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,sum,2022-12-01,31,12,37.57014784414669,1669852800000,monthly,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,sum,2023-01-01,31,1,32.410823726352625,1672531200000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,sum,2023-02-01,28,2,0.0,1675209600000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,sum,2023-03-01,31,3,109.40335972572787,1677628800000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,sum,2023-04-01,30,4,458.61774794443033,1680307200000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,sum,2023-05-01,31,5,158.97473878850195,1682899200000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,sum,2023-06-01,30,6,121.18617690949651,1685577600000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,sum,2023-07-01,31,7,145.1094056051905,1688169600000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,sum,2023-08-01,31,8,65.08288572912254,1690848000000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,sum,2023-09-01,30,9,42.42527306401389,1693526400000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,sum,2023-10-01,31,10,154.09236432244137,1696118400000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,sum,2023-11-01,30,11,809.5633523264509,1698796800000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,sum,2023-12-01,31,12,133.50640320323757,1701388800000,monthly,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,sum,2024-01-01,31,1,43.166541556067116,1704067200000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,sum,2024-02-01,29,2,13.209302874548953,1706745600000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,sum,2024-03-01,31,3,72.66366161313947,1709251200000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,sum,2024-04-01,30,4,195.09975958148775,1711929600000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,sum,2024-05-01,31,5,134.0114346532242,1714521600000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,sum,2024-06-01,30,6,140.26258380272552,1717200000000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,sum,2024-07-01,31,7,42.73477598317497,1719792000000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,sum,2024-08-01,31,8,71.51309755196301,1722470400000,monthly,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
