,site_id,site_name,site_category,year,month,system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,image_count,image_id,source_file,system_time_start,temporal_scale,period,has_any_missing_value,n_missing_values,row_was_missing,season,has_all_values,has_any_value
0,degraded_1,degraded_1,degraded,2019,1,0_4,0.2145322838247284,0.1214269209392051,0.0588123114420479,0.0821556430596617,0.0650447826622923,0.1153392529266357,0.2458325126354103,0.3009797695024347,0.2955438756377178,0.3299963323248064,0.4540348511896142,-0.4301189699770034,0.4247443659476161,0.1592512687397242,0.4714029300477467,0.6252963356504131,-0.5493090397394499,0.1922186359571098,0.3899152050180336,median,2019-01-01,5.0,0.0,degraded_1_aoi.geojson,1546300800000.0,monthly,current,False,0,False,other,True,True
1,degraded_1,degraded_1,degraded,2019,2,1_4,0.2522756807973202,0.1526708733134318,0.0463148327864349,0.0791330390311636,0.0755964153652344,0.1298138511592175,0.2335473200546831,0.2721107811597965,0.2739429201156316,0.3082762505874954,0.36068872798574,-0.516713810031646,0.2951571354175936,0.045739931901931,0.4052998041663608,0.5661397635437088,-0.5492325138352683,0.1579628785029574,0.3490914753316605,median,2019-02-01,5.0,1.0,degraded_1_aoi.geojson,1548979200000.0,monthly,current,False,0,False,other,True,True
2,degraded_1,degraded_1,degraded,2019,3,2_4,0.2707156230886275,0.1744055154830556,0.0661636923476427,0.0949205756490351,0.0905487360530174,0.1416620480040175,0.2432480131384387,0.2841700889130209,0.2857052780168294,0.3177677155384246,0.3552540315385259,-0.4667379364117801,0.2522977155643493,0.0308538074421348,0.3764326007295227,0.5061480559356843,-0.4855451873650833,0.1445599801150607,0.3187603743405677,median,2019-03-01,11.0,2.0,degraded_1_aoi.geojson,1551398400000.0,monthly,current,False,0,False,wet,True,True
3,degraded_1,degraded_1,degraded,2019,4,3_4,0.2774902188300527,0.1806029500020853,0.0566501756084283,0.0854493137003111,0.0842702325055593,0.1323906743144135,0.2309064266099449,0.2695627986715226,0.2702863229570707,0.3024740538547149,0.3419989607417816,-0.5229627429091559,0.2181859816282119,-0.0075849643787222,0.3879250742419026,0.5220488279942542,-0.5145913751570926,0.1457245111431926,0.3216428666910753,median,2019-04-01,7.0,3.0,degraded_1_aoi.geojson,1554076800000.0,monthly,current,False,0,False,wet,True,True
4,degraded_1,degraded_1,degraded,2019,5,4_4,,,,,,,,,,,,,,,,,,,,median,2019-05-01,1.0,4.0,degraded_1_aoi.geojson,1556668800000.0,monthly,current,True,19,False,wet,False,False
5,degraded_1,degraded_1,degraded,2019,6,5_4,0.1914148324946538,0.1041598677690823,0.0640366914150817,0.0876177195325769,0.0673301069684855,0.1188502385644408,0.2482012224159862,0.2917272700472369,0.2876253700356714,0.3171319659342683,0.4497378591567283,-0.3622115196809357,0.4686366252553874,0.200623738265857,0.449758236372796,0.6138344333002423,-0.523796876836028,0.1792185112984999,0.3800224558786866,median,2019-06-01,7.0,5.0,degraded_1_aoi.geojson,1559347200000.0,monthly,current,False,0,False,other,True,True
6,degraded_1,degraded_1,degraded,2019,7,6_4,0.2006243721979603,0.1111105888942694,0.0462697086213014,0.0740786289557721,0.0605673050873556,0.1114279263396793,0.2292504064841077,0.2677866110182518,0.2731678011697992,0.2975290425809672,0.4097957687945796,-0.4500357741536252,0.4278693277876249,0.1555965975309748,0.4499623777823711,0.6307885730765986,-0.5654076521510781,0.1756903997610557,0.3776367642230456,median,2019-07-01,8.0,6.0,degraded_1_aoi.geojson,1561939200000.0,monthly,current,False,0,False,dry,True,True
7,degraded_1,degraded_1,degraded,2019,8,7_4,0.17160311299358,0.0971101984854869,0.0665306403837096,0.0819177571078006,0.0646353335770765,0.1058044580224575,0.2037974499913243,0.2402480597625363,0.2402476015045981,0.2608615899908282,0.3799011687742865,-0.3268329946684262,0.4576592288512173,0.1869164598293886,0.4300862205088587,0.5814853284243987,-0.4854698788285178,0.1396948705072922,0.3147919691010662,median,2019-08-01,9.0,7.0,degraded_1_aoi.geojson,1564617600000.0,monthly,current,False,0,False,dry,True,True
8,degraded_1,degraded_1,degraded,2019,9,8_4,0.2396057652692328,0.1429084564558008,0.0680948686466305,0.0901555169779402,0.0774375644033961,0.1271468462231075,0.2319710277940733,0.2714157514904298,0.2747709039894861,0.2992448471598844,0.3963435488079047,-0.4403849037675948,0.3269018701332915,0.072396363063297,0.4003305019764453,0.554866387859112,-0.4964893461697433,0.1557766909796971,0.3402392250899657,median,2019-09-01,6.0,8.0,degraded_1_aoi.geojson,1567296000000.0,monthly,current,False,0,False,dry,True,True
9,degraded_1,degraded_1,degraded,2019,10,9_4,0.1819768139178074,0.0932793483858294,0.0555371734363967,0.0787956743097106,0.0608462511215047,0.1116341776251175,0.2184705892346159,0.2537691324729381,0.2444950802439971,0.2802654900378525,0.3759067279212069,-0.38465148854712,0.4523861225551271,0.1500087372181479,0.4300701484351279,0.5956897964262309,-0.5046559709918514,0.148339440185133,0.3302930674752053,median,2019-10-01,4.0,9.0,degraded_1_aoi.geojson,1569888000000.0,monthly,current,False,0,False,dry,True,True
