,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo,period,has_any_missing_value,n_missing_values
10,10_4,3.322642528022728e-06,6.64509149178248e-05,6.860138069495098e-06,-0.5512989505254879,0.4599491650741285,0.1634201621671788,0.6877560074608995,-0.6505000688462086,3.280607471440751e-05,2.2604330490405187e-05,5.959671839488717e-06,7.97383764968609e-05,2.3892852502677267e-05,1.2275272426233089e-05,median,2024-01-01,778,10,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
11,11_4,3.3261202976214745e-06,6.224397714823275e-05,6.579003629059091e-06,-0.5702288930991358,0.4321453980967042,0.127406426300299,0.6760165583853902,-0.647055729308021,3.1000766083427524e-05,2.095315496054717e-05,6.006103171724678e-06,7.469036462157205e-05,2.423495564006424e-05,1.24579140207013e-05,median,2025-01-01,456,11,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.36356706312903,-4.499421265971866],[39.36764682509283,-4.498195422001526],[39.37312481533529,-4.495284042571966],[39.371841509928835,-4.492487586014627],[39.369543052484445,-4.489135668908226],[39.36230291153462,-4.486626519531437],[39.36031091508282,-4.486645673343472],[39.358816917743965,-4.492296047894262],[39.357418689465305,-4.494594505338651],[39.35916168636062,-4.497793191948758],[39.36356706312903,-4.499421265971866]]]}",current,False,0
12,0_5,3.614408611059785e-06,5.2314319856571135e-05,6.651829290926529e-06,-0.5365579287681526,0.3577795158464424,0.1018114535746547,0.6073025314411241,-0.6007565032562162,2.7505482553423545e-05,1.7148400958848167e-05,6.561665907153204e-06,6.277530427934478e-05,2.2319316214176108e-05,1.2990728594355986e-05,median,2014-01-01,17,0,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1388534400000,annual,2014,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",baseline,False,0
13,1_5,3.592603988983036e-06,5.753877728611914e-05,6.769294478473556e-06,-0.5441775434704104,0.3968102535142415,0.1185516613455032,0.6524837278408899,-0.6201407337841476,2.9104324126677495e-05,1.9203106937312503e-05,6.086858153828802e-06,6.904430740167094e-05,2.3070913640464548e-05,1.275732617253578e-05,median,2015-01-01,18,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1420070400000,annual,2015,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",baseline,False,0
14,2_5,4.330385501824101e-06,4.89853256034554e-05,7.097744793881022e-06,-0.5608832192509349,0.2585760189268796,0.020875278107961,0.5696966980602206,-0.57885272124845,2.6987687232000783e-05,1.5623300347130965e-05,7.293470261449827e-06,5.878057598402166e-05,2.5998855945483037e-05,1.622089286509649e-05,median,2016-01-01,247,2,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1451606400000,annual,2016,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",baseline,False,0
15,3_5,3.6265007146645966e-06,5.182469638410111e-05,6.710546983629542e-06,-0.5638095664436653,0.3174872073437567,0.0565917474585699,0.6133641741134167,-0.5980076129925112,2.7259163607578275e-05,1.700455663485996e-05,6.3199536702987e-06,6.218771522549929e-05,2.3823339828075577e-05,1.4009521259753198e-05,median,2017-01-01,312,3,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1483228800000,annual,2017,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",baseline,False,0
16,4_5,3.735447424575552e-06,5.546129114777004e-05,6.687828593872118e-06,-0.5613848690065784,0.3540792216603546,0.0925664043327935,0.6505075629270476,-0.6180466271846972,2.8212018702752136e-05,1.858943490636025e-05,6.051435645769333e-06,6.65514046149362e-05,2.4209878442233625e-05,1.4083798626548276e-05,median,2018-01-01,670,4,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
17,5_5,3.537113491976726e-06,5.061083941711284e-05,6.533845106065954e-06,-0.5690672159398402,0.3264686727609724,0.0589055717292326,0.6072129868652902,-0.6103830420561709,2.710109708505936e-05,1.6491891377243446e-05,6.445742032400845e-06,6.0731211573644914e-05,2.4279253169426096e-05,1.3846163769541894e-05,median,2019-01-01,705,5,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
18,6_5,2.585888367542965e-06,5.900777449114981e-05,5.982272115856501e-06,-0.5480871064232412,0.4937353435173215,0.1959244756779476,0.710471193841634,-0.6595543586243762,2.8943126244090384e-05,2.017442715847585e-05,4.883427230940433e-06,7.080720238263169e-05,1.928304495407499e-05,9.660774895168416e-06,median,2020-01-01,653,6,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1577836800000,annual,2020,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
19,7_5,5.7657102875259705e-06,4.299842880476186e-05,8.524648964040021e-06,-0.5802581788743286,0.1135342935905899,-0.0838589426647093,0.4679227808196348,-0.5215635602530567,2.7319608477177343e-05,1.2817279882925936e-05,9.908615510448684e-06,5.159647831165353e-05,3.288465313460406e-05,2.2561951722685883e-05,median,2021-01-01,75,7,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
