,site_id,site_name,site_category,year,season,period,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,BLUE_n_valid_months,BLUE,GREEN_n_valid_months,GREEN,RED_n_valid_months,RED,NIR_n_valid_months,NIR,SWIR1_n_valid_months,SWIR1,SWIR2_n_valid_months,SWIR2,NDVI_n_valid_months,NDVI,EVI_n_valid_months,EVI,NDWI_n_valid_months,NDWI,MNDWI_n_valid_months,MNDWI,SAVI_n_valid_months,SAVI,NDMI_n_valid_months,NDMI,NBR_n_valid_months,NBR,NIRv_n_valid_months,NIRv
45,degraded_2,degraded_2,degraded,2024,wet,current,3,3,0,2,3,0.0399217971017762,3,0.07379774460705153,3,0.0742922304192289,3,0.29756074190602316,3,0.27411362246169085,3,0.15447068028206115,3,0.6040494751822898,3,0.3877109564992713,3,-0.600713343642158,3,-0.568807990461455,3,0.3828650775990621,3,0.05308537002674737,3,0.3303229654591299,3,0.18167842354828456
46,degraded_2,degraded_2,degraded,2025,dry,current,4,4,0,3,3,0.0407900116622551,3,0.07306799033440163,3,0.06522315105318933,3,0.29479920091587647,3,0.25035399902507915,3,0.14135077296915846,3,0.6352260245685634,3,0.41362450593515615,3,-0.5980230313517075,3,-0.5432424973244832,3,0.3973470623886867,3,0.08222375595896717,3,0.35160620592523745,3,0.18893781384724054
47,degraded_2,degraded_2,degraded,2025,wet,current,3,3,0,2,3,0.04352510295282033,3,0.0696732366576423,3,0.06919027528187516,3,0.2561312079540064,3,0.25857363126892224,3,0.16280900536510715,3,0.5596733009856881,3,0.34345043800471964,3,-0.5594693718140397,3,-0.568767168915207,3,0.33274827511387195,3,-0.005699742578748862,3,0.22563645784136763,3,0.1511102646851948
48,degraded_3,degraded_3,degraded,2014,dry,baseline,4,3,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
49,degraded_3,degraded_3,degraded,2014,wet,baseline,3,3,0,2,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
50,degraded_3,degraded_3,degraded,2015,dry,baseline,4,3,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
51,degraded_3,degraded_3,degraded,2015,wet,baseline,3,1,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
52,degraded_3,degraded_3,degraded,2016,dry,baseline,4,4,0,3,3,0.0415744660400209,3,0.06715696322026969,3,0.06996196243101584,3,0.27629927334913934,3,0.2541392077135447,3,0.15455454997892995,3,0.5934204132410649,3,0.37400036215009785,3,-0.6058592906527299,3,-0.5792902159049053,3,0.3641675463128374,3,0.044902504852391334,3,0.2889612763578499,3,0.166795000192092
53,degraded_3,degraded_3,degraded,2016,wet,baseline,3,3,0,2,2,0.04686484723193085,2,0.07435213433950545,2,0.07877196322706435,2,0.2792468904428864,2,0.2754262581078589,2,0.16712673337409734,2,0.5545919125092823,2,0.3592707346493203,2,-0.5747589614268396,2,-0.5730543553446807,2,0.34827475758509563,2,0.005953411484332198,2,0.2543128149542385,2,0.15903089635156983
54,degraded_3,degraded_3,degraded,2017,dry,baseline,4,4,0,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
