,site_id,site_name,site_category,year,season,period,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,B2_n_valid_months,B2,B3_n_valid_months,B3,B4_n_valid_months,B4,B5_n_valid_months,B5,B6_n_valid_months,B6,B7_n_valid_months,B7,B8_n_valid_months,B8,B8A_n_valid_months,B8A,B11_n_valid_months,B11,B12_n_valid_months,B12,NDVI_n_valid_months,NDVI,EVI_n_valid_months,EVI,NDWI_n_valid_months,NDWI,MNDWI_n_valid_months,MNDWI,SAVI_n_valid_months,SAVI,NDMI_n_valid_months,NDMI,NBR_n_valid_months,NBR,NIRv_n_valid_months,NIRv,NDRE_n_valid_months,NDRE
0,degraded_1,degraded_1,degraded,2019,dry,current,4,4,0,3,4,0.059108097772009545,4,0.08123689433780587,4,0.06587161354733323,4,0.11400335205259046,4,0.2208723683760303,4,0.258304888686039,4,0.25817034672697015,4,0.2844752424423831,4,0.19845251609464512,4,0.11110214805534663,4,0.5907075214465851,4,0.3904868035744944,4,-0.5130057120352977,4,-0.40047629028419157,4,0.3407402564723207,4,0.14122953941045208,4,0.4162041373318152,4,0.1548753503582945,4,0.4276123121757008
1,degraded_1,degraded_1,degraded,2019,wet,current,3,3,0,2,2,0.0614069339780355,2,0.0901849446746731,2,0.08740948427928835,2,0.13702636115921552,2,0.23707721987419178,2,0.27686644379227177,2,0.27799580048695005,2,0.31012088469656973,2,0.2741029209593401,2,0.17750423274257043,2,0.5140984419649692,2,0.34862649614015373,2,-0.5000682812610879,2,-0.494850339660468,2,0.32020162051582146,2,0.011634421531706301,2,0.2352418485962806,2,0.14514224562912664,2,0.3821788374857127
2,degraded_1,degraded_1,degraded,2020,dry,current,4,4,0,3,4,0.06205315597692848,4,0.0837016729720168,4,0.07592392458269755,4,0.12227999696897568,4,0.2272857731446061,4,0.2686196955940585,4,0.2717353288172164,4,0.29580439263478264,4,0.2664382030248983,4,0.1690198499639158,4,0.5629852715926789,4,0.3813049830989429,4,-0.5243340630022228,4,-0.5093939285662088,4,0.3377518200460039,4,0.019835333430616126,4,0.25157350819701096,4,0.15480575879708308,4,0.4141270715483014
3,degraded_1,degraded_1,degraded,2020,wet,current,3,3,0,2,3,0.0611646898492381,3,0.0881110573733966,3,0.0908031454720285,3,0.1383938986947869,3,0.225109022192724,3,0.258639221415045,3,0.2555860430550412,3,0.2884579450403727,3,0.277769999971031,3,0.17408474200559373,3,0.4881295398173712,3,0.3103771328383405,3,-0.48589606667857826,3,-0.5033661731872221,3,0.29114884762297916,3,-0.016153752122065032,3,0.2194563310677701,3,0.12757611182289177,3,0.357433619503218
4,degraded_1,degraded_1,degraded,2021,dry,current,4,4,0,3,4,0.05532991354658107,4,0.08129944670385118,4,0.07211653516237262,4,0.1231882337672068,4,0.23557674470142737,4,0.27720234903281443,4,0.2817614180733633,4,0.30783864125529303,4,0.25559019290736784,4,0.15749950068958454,4,0.5921353270542071,4,0.40271374399414933,4,-0.549703162335629,4,-0.5088078767086216,4,0.3620929270835039,4,0.056067047745519655,4,0.298176024227629,4,0.16903291768405265,4,0.4289786762731611
5,degraded_1,degraded_1,degraded,2021,wet,current,3,3,0,2,3,0.0631466080305131,3,0.09072446959523367,3,0.09575730916086807,3,0.14319174994584163,3,0.23238731751789996,3,0.2694843900752381,3,0.2703871060661868,3,0.30213854634972576,3,0.31850259910392364,3,0.21004085575459655,3,0.4844893782587493,3,0.31868282372117923,3,-0.4957110115096881,3,-0.5488937698570812,3,0.2981086866096452,3,-0.066598819182036,3,0.14614467432304565,3,0.13176664198725316,3,0.3617098353044888
6,degraded_1,degraded_1,degraded,2022,dry,current,4,4,0,3,3,0.0660765532950206,3,0.08516297833294456,3,0.07349394105085784,3,0.12220142301965127,3,0.22965414687539232,3,0.26995378882036747,3,0.2736088255783377,3,0.29812051748918794,3,0.23418004502643833,3,0.1449253900578229,3,0.5751996189120755,3,0.40432686799774986,3,-0.5205884221063989,3,-0.4409512091708881,3,0.34629720842183837,3,0.09564832151391361,3,0.3329761155650304,3,0.15988095805111938,3,0.41821382255611944
7,degraded_1,degraded_1,degraded,2022,wet,current,3,3,0,2,3,0.07659676345422493,3,0.10162920061201701,3,0.11591168440121048,3,0.1615975022368983,3,0.2312317952225317,3,0.2635027477171317,3,0.2648777997361877,3,0.29878216100822785,3,0.3418659509935318,3,0.23213593136531677,3,0.40332734283408583,3,0.2729845163356408,3,-0.4432382600355634,3,-0.5237215762696898,3,0.252456439907005,3,-0.10349391133945628,3,0.09889831137030207,3,0.10754465183951954,3,0.3049488736639194
8,degraded_1,degraded_1,degraded,2023,dry,current,4,4,0,3,4,0.059324472311518495,4,0.08090000112464348,4,0.06442630429930532,4,0.11806126452433863,4,0.23682951709856204,4,0.278629662788841,4,0.2800981998241298,4,0.30749346192690563,4,0.21393712012807062,4,0.1180189172640003,4,0.6204770422326105,4,0.4334633873956606,4,-0.5415566865892754,4,-0.43265846450775436,4,0.37251511952434385,4,0.14173334622653833,4,0.4176203429452719,4,0.17683078305347477,4,0.4440860428075464
9,degraded_1,degraded_1,degraded,2023,wet,current,3,3,0,2,3,0.057269686789304296,3,0.07895491142683357,3,0.07706600571243623,3,0.12226780350957826,3,0.20932230256317777,3,0.24294323633679651,3,0.2418170286873206,3,0.27047166747076323,3,0.25484964863800613,3,0.16043136117049517,3,0.5123039680937569,3,0.3174335811848407,3,-0.4969372020824406,3,-0.5109265295302255,3,0.29010386596303644,3,-0.017114624338159273,3,0.2239356987440186,3,0.1278690988116965,3,0.37616145493512265
