Plot_ID,Block,Stratum,Year,Easting_UTM37S,Northing_UTM37S,Latitude,Longitude
P0055,10171,Early Restoration,2021,545799.7536568758,9510676.617372308,-4.426858569469219,39.41281061996463
P0056,10172,Recent Restoration,2022,544974.3517762709,9509600.22089895,-4.436600352021281,39.40537638948508
P0057,10172,Recent Restoration,2022,545174.3517762709,9510000.22089895,-4.432980743343407,39.407177077919776
P0058,10172,Recent Restoration,2022,544974.3517762709,9509900.22089895,-4.433886389283214,39.405374910001726
P0059,10172,Recent Restoration,2022,545174.3517762709,9509600.22089895,-4.436599359559244,39.40717905913174
P0060,10172,Recent Restoration,2022,545374.3517762709,9509800.22089895,-4.434789055038434,39.40898073317394
P0061,10172,Recent Restoration,2022,545174.3517762709,9509800.22089895,-4.434790051495669,39.407178068321684
P0062,10172,Recent Restoration,2022,545374.3517762709,9510000.22089895,-4.432979747294271,39.40897973838762
P0063,10181,Early Restoration,2021,546247.8354858371,9509955.452265501,-4.433380346342665,39.416852933247505
P0064,10181,Early Restoration,2021,545947.8354858371,9509755.452265501,-4.435191174272988,39.41414995107458
P0065,10181,Early Restoration,2021,545747.8354858371,9509955.452265501,-4.433382876486224,39.412346283354644
P0066,10181,Early Restoration,2021,545947.8354858371,9509955.452265501,-4.433381867728856,39.414148943623374
P0067,10181,Early Restoration,2021,545747.8354858371,9509755.452265501,-4.435192183443622,39.41234728642103
P0068,10182,Recent Restoration,2022,545311.714147667,9509339.013855321,-4.438961694925973,39.40841845236676
P0069,10182,Recent Restoration,2022,545511.714147667,9509639.013855321,-4.436246733581126,39.41021962909058
P0070,1022,Recent Restoration,2024,542941.3642972556,9508363.74780196,-4.447796019633426,39.387058174036426
P0071,1022,Recent Restoration,2024,543341.3642972556,9508763.74780196,-4.4441754925860195,39.39066166967708
P0072,1022,Recent Restoration,2024,543141.3642972556,9508763.74780196,-4.444176446322109,39.38885897800916
P0073,1022,Recent Restoration,2024,543041.3642972556,9508563.74780196,-4.445986233379805,39.38795857807522
P0074,1021,Recent Restoration,2024,543459.0339854269,9508745.063356455,-4.444343959266311,39.39172236954908
P0075,1021,Recent Restoration,2024,543659.0339854269,9508645.063356455,-4.445247653812942,39.393525540784594
P0076,1021,Recent Restoration,2024,543659.0339854269,9508845.063356455,-4.443438343139899,39.3935245813234
P0077,1021,Recent Restoration,2024,543859.0339854269,9508745.063356455,-4.444342033297706,39.395327752065796
P0078,corridor,Biodiversity Corridor,,545946.5919188026,9509505.975591403,-4.437448079335597,39.41413999962994
P0079,corridor,Biodiversity Corridor,,545446.5919188026,9509105.975591403,-4.44106920989013,39.40963531871507
P0080,corridor,Biodiversity Corridor,,545746.5919188026,9509205.975591403,-4.440163049101922,39.41233883560881
P0081,corridor,Biodiversity Corridor,,544946.5919188026,9509005.975591403,-4.441976354410528,39.40512911166632
