Plot_ID,Block,Stratum,Year,Easting_UTM37S,Northing_UTM37S,Latitude,Longitude
BC_061,biodiversity_corridor,Biodiversity Corridor,,547346.5919,9512105.976,-4.413919936,39.42674521
BC_062,biodiversity_corridor,Biodiversity Corridor,,545246.5919,9508605.976,-4.445593478,39.40783512
BC_063,biodiversity_corridor,Biodiversity Corridor,,547446.5919,9511105.976,-4.422965938,39.4276517
BC_064,biodiversity_corridor,Biodiversity Corridor,,547546.5919,9512205.976,-4.413014245,39.4285473
BC_065,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9510905.976,-4.424777833,39.42314614
BC_066,biodiversity_corridor,Biodiversity Corridor,,549546.5919,9512705.976,-4.408480363,39.44657065
BC_067,biodiversity_corridor,Biodiversity Corridor,,544346.5919,9508705.976,-4.444693271,39.39972252
BC_068,biodiversity_corridor,Biodiversity Corridor,,543946.5919,9508205.976,-4.449218494,39.39611956
BC_069,biodiversity_corridor,Biodiversity Corridor,,545946.5919,9509005.976,-4.441971345,39.41414252
BC_070,biodiversity_corridor,Biodiversity Corridor,,546146.5919,9509205.976,-4.440161024,39.41594419
BC_071,biodiversity_corridor,Biodiversity Corridor,,549746.5919,9512805.976,-4.407574627,39.4483727
BC_072,biodiversity_corridor,Biodiversity Corridor,,550246.5919,9513205.976,-4.403953295,39.45287699
BC_073,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9510305.976,-4.430205747,39.42314923
BC_074,biodiversity_corridor,Biodiversity Corridor,,548146.5919,9512605.976,-4.409392495,39.43395302
BC_075,biodiversity_corridor,Biodiversity Corridor,,549946.5919,9512905.976,-4.406668887,39.45017475
BC_076,biodiversity_corridor,Biodiversity Corridor,,548346.5919,9512305.976,-4.412105393,39.4357572
BC_077,biodiversity_corridor,Biodiversity Corridor,,545646.5919,9508905.976,-4.442877513,39.411439
BC_078,biodiversity_corridor,Biodiversity Corridor,,543846.5919,9508005.976,-4.451028288,39.39521917
BC_079,biodiversity_corridor,Biodiversity Corridor,,547446.5919,9511705.976,-4.417538026,39.42764859
BC_080,biodiversity_corridor,Biodiversity Corridor,,547246.5919,9510705.976,-4.426585586,39.42585113
BC_081,biodiversity_corridor,Biodiversity Corridor,,545646.5919,9509105.976,-4.441068206,39.411438
BC_082,biodiversity_corridor,Biodiversity Corridor,,545446.5919,9509005.976,-4.441973864,39.40963582
BC_083,biodiversity_corridor,Biodiversity Corridor,,544146.5919,9508405.976,-4.447408212,39.39792129
BC_084,biodiversity_corridor,Biodiversity Corridor,,547246.5919,9511105.976,-4.422966977,39.42584907
BC_085,biodiversity_corridor,Biodiversity Corridor,,543746.5919,9508205.976,-4.449219462,39.39431685
BC_086,biodiversity_corridor,Biodiversity Corridor,,542846.5919,9507705.976,-4.453747044,39.38620704
BC_087,biodiversity_corridor,Biodiversity Corridor,,547046.5919,9509705.976,-4.435633143,39.42405365
BC_088,biodiversity_corridor,Biodiversity Corridor,,549946.5919,9512705.976,-4.408478186,39.45017584
BC_089,biodiversity_corridor,Biodiversity Corridor,,547446.5919,9510905.976,-4.424775242,39.42765274
BC_090,biodiversity_corridor,Biodiversity Corridor,,546746.5919,9509205.976,-4.440157954,39.42135222
BC_091,biodiversity_corridor,Biodiversity Corridor,,543346.5919,9507805.976,-4.452840007,39.39071335
BC_092,biodiversity_corridor,Biodiversity Corridor,,548546.5919,9512805.976,-4.407581077,39.43755716
BC_093,biodiversity_corridor,Biodiversity Corridor,,544446.5919,9508305.976,-4.4483114,39.40062582
BC_094,biodiversity_corridor,Biodiversity Corridor,,547746.5919,9512505.976,-4.410299245,39.43034835
BC_095,biodiversity_corridor,Biodiversity Corridor,,547646.5919,9511705.976,-4.417536983,39.4294512
BC_096,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9510505.976,-4.428396442,39.4231482
BC_097,biodiversity_corridor,Biodiversity Corridor,,548846.5919,9512605.976,-4.409388781,39.44026211
BC_098,biodiversity_corridor,Biodiversity Corridor,,547646.5919,9511505.976,-4.419346287,39.42945225
BC_099,biodiversity_corridor,Biodiversity Corridor,,547746.5919,9512105.976,-4.413917853,39.43035043
BC_100,biodiversity_corridor,Biodiversity Corridor,,548046.5919,9512205.976,-4.413011628,39.43305382
BC_101,biodiversity_corridor,Biodiversity Corridor,,549246.5919,9512705.976,-4.408481984,39.44386676
BC_102,biodiversity_corridor,Biodiversity Corridor,,546946.5919,9509305.976,-4.439252269,39.42315437
BC_103,biodiversity_corridor,Biodiversity Corridor,,549046.5919,9512405.976,-4.411197011,39.44206577
BC_104,biodiversity_corridor,Biodiversity Corridor,,544546.5919,9508505.976,-4.4465016,39.40152619
BC_105,biodiversity_corridor,Biodiversity Corridor,,545046.5919,9508705.976,-4.44468982,39.40603194
BC_106,biodiversity_corridor,Biodiversity Corridor,,547246.5919,9511605.976,-4.418443716,39.42584648
BC_107,biodiversity_corridor,Biodiversity Corridor,,546146.5919,9509005.976,-4.44197033,39.4159452
BC_108,biodiversity_corridor,Biodiversity Corridor,,549546.5919,9512505.976,-4.410289663,39.44657173
